id,sentence,label
1,a superlens is able to beat the diffraction limit.,0
2,"in the sociology of religion a sect  is generally  a small religious or political group that has broken off from a larger group, for example from a large, well-established religious group, like a denomination, usually due to a dispute about doctrinal matters.",1
3,"it is approximately enclosed by the river severn to the north, the chessell pill rhine to the east, the south meets the village of pilning at the end of redwick road (by the cross hands public house) and the western edge finishes inline with mainlne of the railway prior to its entry to the severn tunnel.",0
4,"in western medieval legend, a succubus (plural succubi) or succuba (plural succubae)  is  a demon , who takes the form of a beautiful woman to seduce men, especially monks , in dreams to have sexual intercourse.",1
5,"kids, which was originally launched in 2002 as martha stewart kids, specialized in projects that children could make, either by themselves or along with their parents.",0
6,there is also an aspiration reward called the money tree where the sim could get small amounts of money.,0
7,sideswipe loaned optimus prime the use of his rocket pack when the decepticons nearly escaped from earth with a starship full of energon.,0
8,cladistics originated in the field of biology but in recent years has found application in other disciplines.,0
9,the mafia (also known as cosa nostra)  is  a sicilian criminal secret society which is believed to have first developed in the mid-19th century in sicily.,1
10,"a dandy (also known as a beau, gallant or flamboyant person) is  a man who places particular importance upon physical appearance, refined language, and leisurely hobbies.",1
11,"mantzavinata had several persons with the surname mantzaviatos, one of them founded a subdivision in patras and is known as mantzavineika, another the mantzavinateio hospital in lixouri.",0
12,the decibel (db ) is a logarithmic unit of measurement that expresses the magnitude of a physical quantity (usually power or intensity) relative to a specified or implied reference level.,1
13,"the line between the battlecruiser and the modern fast battleship became blurred; indeed, the japanese kong̷�� class were formally redesignated as battleships.",0
14,"he then fights enemies including ""the white skull"" (colonel buck ""bucky"" barnes), an earth-717 homage to the red skull, who is an antagonist of captain america in normal continuity.",0
15,"the former craigmillar primary school building houses a renowned mural by john maxwell, who was trained by fernand l̰�ger and was a fellow student of marc chagall in paris.",0
16,the value of a noble is equal to the platinum content of the coin.,0
17,coc boardmembers from 1995 formed the board of hoezo/expreszo and coc netherlands started funding the magazine from 1995 until 2001.,0
18,"the acquisition was completed on 25 february, 2008 with the delisting of altadis from the bolsa de madrid.",0
19,"to commemorate the relocation of library@orchard, nlb are planning hold a series of public events and programmes, such as exhibitions, film screenings, talks and even ""live"" performances by local bands and musicians, in the months leading to the closure.",0
20,"the octopus (/ˈɒktəpʊs/, from greek ὀκτάπους, 'eight-footed', with plural forms: octopuses /ˈɒktəpʊsɪz/, octopi /ˈɒktəpʊsɪz/, or octopodes /ɒkˈtɒpədiːz/, see below) is  a cephalopod of the order octopoda that inhabits many diverse regions of the ocean, especially coral reefs.",1
21,"chirality, or ""handedness"", (greek, χειρ, kheir: ""hand"") is a [[ property ]] of asymmetry important in several branches of science.",1
22,"still other countries' versions of the show, including mexico's at̰��nale al precio, italy's ok, il prezzo ̰� giusto!, france's le juste prix, and vietnam's h̰�y ch������n gḭ�� ̳��̰�ng, have done their best to emulate the american format of plinko, with differences in the cash prizes offered being the only significant changes (m$25,000 is the max in mexico, ̢���10,000,000 was the max in italy, 100,000̢�� was the max in france, and 10,000 diem (10,000,000̢���) is the max in vietnam); perhaps most notably, the lowest value on vietnam's plinko board is 200 diem (200,000̢���, only about us$13), making it impossible to walk away from the game empty-handed.",0
23,"a bokken (lang, bok(u), ""wood"", and ken, ""sword""), is a wooden japanese sword used for training, usually the size and shape of a katana, but sometimes shaped like other swords, such as the wakizashi and tantō.",1
24,this discovery has led to the breaking up of acacia into five new genera as discussed in list of acacia species.,0
25,the main difference between zbrush and more traditional modeling packages is that it is more akin to sculpting.,0
26,"there is also a claim from the uk where in 1824 john greenwood operated the first ""bus route"" from market street in manchester to pendleton in salford.",0
27,designing an adequate diffuser on a rebreather is much easier than on open-circuit scuba.,0
28,"a check-raise in poker is a common deceptive play in which a player checks early in a betting round , hoping someone else will open .",1
29,cobra is a vermous asiatic   and african elapid snakes that can expand the skin of the neck into a hood .,1
30,"some people dispute whether toner is actually necessary, and prefer to use plain water instead.",0
31,"the parsec (""parallax of one arcsecond"", symbol pc)  is a unit  of length , equal to just over 30 trillion kilometres, or about 3.3 light years.",1
32,"abergavenny grew as a town in early norman times under the protection of the norman lords of abergavenny baron abergavenny, whose title dated from william the conqueror, and their medieval successors.",0
33,"afutu speak efutu language, which is similar to the ga language.",0
34,the saxifragales are  an order of dicotyledon flowering plants .,1
35,"this scientific name is now considered invalid by itis, who classify aurochs under bos taurus, the same species as domestic cattle.",0
36,"the $praxe is meant to initiate the freshmen in the institution they are in, and to encourage the loss of social inhibitions.",0
37,"the delmarva fox squirrel, sciurus niger cinereus, is an endangered subspecies of the fox squirrel.",1
38,"a well-known example of a (white wood-hulled) four-masted jackass-barque was the olympic in her times (she was sayed to be the only one in the world), a 1,402 grt ""down easter"" (a square-rigged sailing ship from the dockyards of the downeastern ports, preferably made of timber), launched in 1892 at the shipyards of the new england ship building company, bath, me, for capt.",0
39,a mathematician is a person whose primary area of study and research is the field of mathematics .,1
40,"in quantum mechanics , the hamiltonian h is the observable corresponding to the total energy of the system .",1
41,"in the doom novels, the main character is referred to as flynn ""fly"" taggart, which is universally suggested to be the doomguy from the games.",0
42,"according to the hebrew bible, isaac (yitzchak יִצְחָק, standard yiẓḥaq tiberian yiṣḥāq ; arabic: إسحٰق, ʾisḥāq ; ""he will laugh"") is  the son of abraham and sarah , and the father of jacob and esau.",1
43,"in particle physics and quantum chemistry, antimatter is the extension of the concept of the antiparticle to matter, where antimatter is composed of antiparticles in the same way that normal matter is composed of particles.",1
44,"prestonpans is also home to the royal musselburgh golf club, the sixth-oldest golf course in the world (and home to the old club cup, the world's oldest golfing trophy still being played for) and the town's cricket team preston village cricket club.",0
45,"since that time, the term bolshevik has been regarded as obsolete, and relevant only to the pre-revolutionary times and the russian civil war.",0
46,"some people automatically connect cross-dressing behavior to transgender identity or sexual, fetishist, and homosexual behavior, but the term cross-dressing itself does not imply any motives.",0
47,"secondary batteries can be recharged because the chemical reactions they use are reversible; they are recharged by running a charging current through the battery, but in an opposite direction to the discharge current.",0
48,"bohinj has become a starting point for tourists for day trips, for walks on the trails that run throughout the valley, and for mountaineering and climbing tours.",0
49,traditional festivals in makrakomi (on agiou pnevmatos day ) and all the other villages.,0
50,"benhall is split into two; one side of the a12 road is benhall low street, whereas the other is benhall green.",0
51,gnash is released under the gnu general public license.,0
52,"to avoid copyright infringement, only one user can access the stream from a slingbox at a time.",0
53,"a megabyte  is  a unit of information or computer storage equal to either 10 < ; sup > ; 6 < ; / sup > ; ( 1,000,000 ) bytes or 2 < ; sup > ; 20 < ; / sup > ; ( 1,048,576 ) bytes , depending on context .",1
54,"in mathematics and, in particular, functional analysis, convolution is a mathematical operator that takes two functions f and g and produces a third function that is typically viewed as a modified version of one of the original functions.",1
55,"rmi-iiop is largely based on the object by value concept that serves as a container or direct replacement for corba structures, unions, sequences, arrays and strings.",0
